Claudia;Rivera;Pendiente
Miguel;Rivera;Pendiente
Pedro;Ramírez;Pendiente
Andrés;Mendoza;Pendiente
María;Rodríguez;Pendiente
Fernando;Castro;Pendiente
Raúl;Sánchez;Pendiente
Lucía;Martínez;Pendiente
Pedro;Morales;Pendiente
Andrés;Rojas;Pendiente
Diego;Flores;Pendiente
Carlos;Rodríguez;Pendiente
Miguel;Ruiz;Pendiente
Diego;Rojas;Pendiente
Carlos;Morales;Pendiente
Pedro;Morales;Pendiente
Fernando;Ruiz;Pendiente
Raúl;Ruiz;Pendiente
Claudia;Rojas;Pendiente
Carlos;Romero;Pendiente
Elena;Torres;Pendiente
Sofia;Rivera;Pendiente
Pedro;Castro;Pendiente
Diego;Ortiz;Pendiente
María;Rodríguez;Pendiente
Sofia;Romero;Pendiente
Miguel;Gonzalez;Pendiente
Pedro;Flores;Pendiente
Carlos;Vargas;Pendiente
Laura;Sánchez;Pendiente
Sofia;Rojas;Pendiente
Raúl;Hernández;Pendiente
Carlos;Torres;Pendiente
Sofia;Ortiz;Pendiente
Elena;Ortiz;Pendiente
Diego;Torres;Pendiente
Isabel;Ortiz;Pendiente
Sofia;Martínez;Pendiente
Isabel;Rodríguez;Pendiente
Ana;Hernández;Pendiente
Raúl;Rivera;Pendiente
Elena;García;Pendiente
Andrés;Martínez;Pendiente
María;Romero;Pendiente
Ana;Ortiz;Pendiente
Andrés;García;Pendiente
Pedro;Martínez;Pendiente
Miguel;Pérez;Pendiente
Juan;García;Pendiente
Juan;Castro;Pendiente
Miguel;Ortiz;Pendiente
Teresa;Mendoza;Pendiente
Sofia;Mendoza;Pendiente
Pedro;Torres;Pendiente
Lucía;López;Pendiente
Claudia;Flores;Pendiente
Carlos;Romero;Pendiente
Andrés;García;Pendiente
Diego;Castro;Pendiente
Teresa;Morales;Pendiente
Elena;Martínez;Pendiente
Claudia;Gonzalez;Pendiente
Diego;López;Pendiente
Laura;Vargas;Pendiente
María;Ortiz;Pendiente
Pedro;Mendoza;Pendiente
Laura;Castro;Pendiente
Isabel;Ramírez;Pendiente
Elena;Hernández;Pendiente
Claudia;Rojas;Pendiente
Elena;Gonzalez;Pendiente
Laura;García;Pendiente
Isabel;Ruiz;Pendiente
Luis;Mendoza;Pendiente
Elena;Romero;Pendiente
Elena;García;Pendiente
María;Rivera;Pendiente
Andrés;Vargas;Pendiente
Lucía;Torres;Pendiente
María;Sánchez;Pendiente
Teresa;Hernández;Pendiente
Diego;Flores;Pendiente
Raúl;Ortiz;Pendiente
Carlos;Martínez;Pendiente
Lucía;Ortiz;Pendiente
Ana;Torres;Pendiente
Luis;Mendoza;Pendiente
Teresa;Martínez;Pendiente
Julian;Rivera;Pendiente
Claudia;Romero;Pendiente
Andrés;Morales;Pendiente
Miguel;López;Pendiente
Miguel;Castro;Pendiente
Fernando;Ruiz;Pendiente
Antonio;Rojas;Pendiente
Laura;Sánchez;Pendiente
Claudia;Torres;Pendiente
Raúl;Hernández;Pendiente
Raúl;Ortiz;Pendiente
Sofia;Torres;Pendiente
Laura;Castro;Pendiente
Fernando;Ramírez;Pendiente
Juan;García;Pendiente
Diego;Gonzalez;Pendiente
Antonio;Ramírez;Pendiente
Julian;Torres;Pendiente
Isabel;Morales;Pendiente
Claudia;Ramírez;Pendiente
María;Castro;Pendiente
Carlos;Ortiz;Pendiente
Elena;Mendoza;Pendiente
Isabel;Vargas;Pendiente
Pedro;Castro;Pendiente
